streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
476244795,151,65,70,47,87,0,9,4
629173063,162,67,88,54,51,0,9,4
404664135,92,53,84,77,40,0,32,3
98709329,152,65,35,65,44,18,21,7
110849052,65,71,55,26,85,0,13,8
460492795,147,33,39,61,32,0,77,3
94005786,150,73,71,69,53,0,32,9
395591396,140,67,81,36,64,0,15,3
389771964,139,36,22,15,84,0,11,4
403939487,95,75,74,58,36,0,9,3
481697415,115,60,23,57,0,2,27,3
110073250,125,62,59,43,84,3,11,5
88092256,76,60,19,20,78,0,11,5
351636786,101,72,91,87,14,0,13,3
473248298,143,60,86,32,88,0,34,6
73981293,119,51,51,66,67,0,9,23
155653938,78,67,22,59,76,1,15,16
395591396,96,23,19,25,91,0,40,3
429504768,180,51,87,58,36,0,18,4
242767149,126,34,35,76,39,0,8,5
65362788,150,43,42,44,57,0,15,6
67540165,90,53,47,74,9,0,34,4
62019074,160,72,78,68,28,0,11,12
135723538,114,59,60,94,24,0,10,4
295998468,113,73,72,32,77,0,15,5
261116938,147,67,69,72,17,0,19,3
136689549,100,70,92,59,3,0,10,3
135611421,155,49,42,77,3,0,12,9
356709897,107,54,41,39,51,0,11,16
110649992,112,80,15,54,9,0,38,5
301869854,166,70,57,57,9,20,11,7
127027715,107,69,96,36,81,0,8,4
57144458,81,47,33,68,24,0,22,38
56870689,150,79,77,46,5,0,11,7
323437194,110,66,19,32,69,0,12,4
317726339,108,64,4,40,6,0,10,6
116144341,130,89,48,74,30,0,7,36
328207708,164,70,39,56,6,0,9,7
608228647,114,80,42,68,2,0,66,4
180577478,93,63,93,88,1,0,12,4
809306935,90,87,51,69,36,0,9,8
49262961,128,45,35,68,78,0,39,8
614555082,97,83,47,80,2,0,24,9
245350949,152,69,94,71,79,0,7,8
178660459,175,51,94,34,73,0,10,5
51641685,116,61,48,55,67,0,16,8
78139948,80,33,51,59,76,0,44,6
322336177,93,63,34,86,26,0,21,39
1007612429,122,70,42,54,30,0,37,5
326792833,122,70,91,79,3,0,7,10
391251368,135,70,60,58,4,0,16,3
349585590,109,60,45,47,62,0,31,5
339659802,93,65,82,74,27,0,32,5
674772936,125,85,64,81,2,5,7,9
432719968,206,58,83,45,36,0,11,8
1309887447,130,76,44,77,1,0,13,3
119238316,121,80,62,51,2,0,9,8
116903579,123,74,35,73,0,0,21,5
888046992,122,67,50,67,15,0,30,4
200660871,143,53,50,79,0,0,8,3
130655803,121,70,35,77,1,0,26,4
1887039593,166,56,68,66,28,0,11,18
88103848,135,41,27,64,36,0,60,3
101114984,87,49,49,59,44,0,35,21
1575467011,111,77,74,66,30,0,13,3
91656026,110,75,85,84,10,0,31,19
1042568408,130,66,19,61,30,0,9,7
1735441776,179,61,76,51,30,0,38,15
726837877,93,74,53,73,61,0,13,4
53933526,78,27,10,49,62,0,49,5
267758538,180,65,37,58,2,0,4,31
74601456,86,28,13,41,50,0,19,3
920797189,88,74,55,85,1,0,5,22
539595276,97,68,72,78,4,0,7,5
1367810478,134,71,59,80,13,0,36,5
578207856,116,75,36,76,12,0,10,10
775542072,170,64,14,70,9,0,9,8
863625566,140,83,40,55,16,0,14,23
656013912,118,75,46,76,3,0,9,4
1056760045,65,31,31,24,76,0,14,4
611994237,120,56,16,67,0,0,11,4
1230855859,176,29,12,33,68,0,12,5
582981380,180,59,69,61,84,0,46,36
1858144199,144,59,21,43,76,0,10,7
240684449,133,82,52,61,38,0,14,27
583687007,93,63,21,52,28,0,9,3
63803529,122,77,25,62,34,0,23,3
466214729,88,53,55,73,9,0,3,5
236940480,170,70,61,44,40,0,37,4
41924466,94,46,55,50,71,0,10,11
225259194,170,65,46,47,12,0,13,16
393230256,90,79,79,70,57,0,66,8
287201015,78,40,7,29,62,0,9,3
599770206,94,57,36,58,5,0,15,3
342779426,73,83,11,41,0,0,36,14
673801126,176,73,79,86,42,0,7,18
1168642797,128,81,57,63,40,1,10,4
540539717,120,58,44,60,44,9,5,6
383550148,82,63,85,62,6,0,35,4
530511203,95,77,40,47,2,0,9,3
37307967,118,44,52,94,11,0,4,29
510876816,123,75,93,86,8,0,14,3
1445941661,90,63,49,68,38,0,42,18
1763363713,110,73,14,57,40,0,11,5
374191487,96,66,76,82,47,0,10,32
108809090,88,56,58,55,35,0,23,11
436695353,98,73,60,85,17,0,24,5
421040617,110,72,67,68,0,0,14,4
501541661,80,70,57,49,19,0,12,8
354065229,110,86,31,53,43,0,11,6
1143647827,110,79,70,36,0,0,6,11
311395144,78,77,49,42,1,1,13,19
672656250,129,83,44,62,2,0,8,6
1256880657,181,44,22,60,61,0,42,9
1692897992,114,75,74,77,1,0,9,10
245095641,144,74,39,65,5,1,11,35
686734357,101,66,18,68,9,0,12,4
261414174,84,67,78,63,29,0,12,5
610045621,154,66,63,69,21,0,11,7
1115880852,148,59,72,62,18,0,9,3
594482982,146,85,22,37,13,0,7,30
566954746,120,77,51,79,20,0,26,6
374706940,136,77,82,30,95,0,13,5
184937148,141,59,56,63,12,0,6,36
31959571,108,46,23,48,75,30,14,4
167076418,94,42,47,36,76,0,9,5
824420218,180,35,41,94,0,63,5,5
363467642,122,77,51,79,5,0,16,5
1127468248,85,59,33,52,7,15,12,3
60680939,148,68,29,73,0,0,7,7
247737946,120,83,59,73,6,0,5,11
1699402402,91,70,76,72,22,0,27,4
154797871,120,72,54,71,26,0,10,4
198883004,106,86,86,79,11,0,8,9
124407432,110,63,31,35,93,0,29,3
850608354,169,39,36,45,81,0,8,13
376333030,118,80,21,55,1,0,26,17
516784627,92,91,79,66,32,0,9,16
1608045237,112,45,19,60,63,0,9,6
506778838,140,79,56,91,26,0,13,21
1472799873,105,73,52,76,13,0,5,3
513643924,178,76,63,77,14,0,15,22
261286503,108,96,71,42,57,0,8,9
783706581,173,40,19,29,86,0,34,4
422691058,101,67,40,90,3,0,34,6
1062345656,120,80,24,62,41,2,11,23
1252563873,144,73,66,80,44,0,9,12
851070493,133,75,96,61,0,0,18,4
263894529,158,46,62,83,53,0,97,28
345903614,120,81,92,90,9,0,8,7
951637566,129,61,59,46,56,0,13,5
956865266,102,74,45,89,5,0,26,13
427486004,124,79,79,84,2,0,5,5
156658366,90,73,31,45,85,24,11,3
624515457,161,78,65,52,46,0,12,31
777765388,120,60,11,33,90,0,8,5
412795151,81,45,12,57,7,0,23,3
1138474110,150,78,47,70,18,0,15,9
355219175,105,76,58,84,10,0,13,10
290228626,79,63,76,67,38,0,6,4
1062956628,146,52,7,61,51,0,11,3
1180094974,124,64,8,37,79,0,9,5
1456081449,126,53,66,85,2,0,24,4
432702334,121,75,53,74,2,0,11,5
489945871,136,80,33,60,0,0,32,14
465959382,102,77,26,63,58,0,11,5
1223481149,77,73,54,74,23,0,41,23
2864791672,98,82,54,59,69,0,18,10
2288695111,84,44,22,48,38,0,33,24
720825549,102,89,77,82,3,0,17,11
2086124197,120,42,33,26,92,0,13,3
1690192927,117,52,73,91,0,0,11,7
991336132,72,45,27,33,82,0,14,4
593917618,168,67,29,47,5,0,22,26
200972675,94,52,68,69,13,0,33,8
71014967,145,41,65,88,0,0,26,5
560222750,134,71,14,61,1,0,23,33
1806617704,148,35,24,93,0,0,10,8
77337771,127,60,40,89,9,0,60,6
528544703,172,74,79,66,11,0,8,16
865640097,90,75,19,46,21,4,34,8
2159346687,96,57,30,40,38,0,26,3
211372494,138,74,65,67,46,0,36,4
651732901,120,72,67,72,0,0,13,4
608334048,125,70,65,74,1,0,34,4
863756573,123,82,80,86,1,0,30,13
797402345,81,79,44,54,41,0,13,24
1695712020,171,55,10,85,7,0,8,20
1759567999,91,77,60,32,84,0,8,5
223319934,84,56,61,76,10,0,14,11
54937991,115,90,74,54,16,0,13,28
